student_id,course_id,n_contributions,total_words,avg_words_per_contribution,lexical_diversity,analytical_keyword_density,engagement_consistency,chat_count,attendance_ratio,speaking_seconds,semantic_similarity,has_transcript,has_chat,has_attendance,has_reference,speaking_time_available,programme,cohort,participation_score
STU0062,MMBA8-DA2,67.0,1062.0,15.850746268656716,13.317646138929076,0.011299435028248588,0.44675364200445855,35.0,0.9285714285714286,346.0,0.010961684808494332,1,1,1,1,1,MMBA,MMBA8,23.0
STU0063,MMBA8-DA2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7857142857142857,0.0,,0,1,1,0,1,MMBA,MMBA8,20.0
STU0071,MMBA8-DA2,2.0,24.0,12.0,4.4907311951024935,0.0,1.0,4.0,0.21428571428571427,11.0,0.0,1,1,1,1,1,MMBA,MMBA8,24.0
STU0010,MMBA8-DA2,36.0,780.0,21.666666666666668,11.95911839645853,0.01540436456996149,0.0,10.0,0.8571428571428571,279.0,0.0,1,1,1,1,1,MMBA,MMBA8,22.0
STU0061,MMBA8-DA2,45.0,421.0,9.355555555555556,9.552455505040154,0.023752969121140142,0.25475443879077164,28.0,0.9285714285714286,168.0,0.021159638106725352,1,1,1,1,1,MMBA,MMBA8,20.0
STU0036,MMBA8-DA2,4.0,22.0,5.5,2.345207879911715,0.09090909090909091,1.0,31.0,0.8571428571428571,16.0,0.20351729539102903,1,1,1,1,1,MMBA,MMBA8,19.0
STU0005,MMBA8-DA2,12.0,182.0,15.166666666666666,7.931367688273783,0.04395604395604396,0.05719095841793653,6.0,0.7857142857142857,70.0,0.0,1,1,1,1,1,MMBA,MMBA8,28.0
STU0028,MMBA8-DA2,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.6428571428571429,0.0,,0,1,1,0,1,MMBA,MMBA8,22.0
STU0039,MMBA8-DA2,14.0,65.0,4.642857142857143,5.953667260282006,0.0,0.2440710539815455,14.0,0.9285714285714286,19.0,0.0,1,1,1,1,1,MMBA,MMBA8,20.0
STU0043,MMBA8-DA2,14.0,203.0,14.5,9.545328726272912,0.014778325123152709,0.7979694910895578,14.0,1.0,77.0,0.00240922204467882,1,1,1,1,1,MMBA,MMBA8,22.0
STU0065,MMBA8-DA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.0,,0,0,1,0,1,MMBA,MMBA8,24.0
STU0054,MMBA8-DA2,4.0,13.0,3.25,3.6055512754639896,0.0,1.0,4.0,0.2857142857142857,5.0,0.0,1,1,1,1,1,MMBA,MMBA8,20.0
STU0066,MMBA8-DA2,1.0,12.0,12.0,3.464101615137755,0.0,1.0,10.0,0.8571428571428571,3.0,0.0,1,1,1,1,1,MMBA,MMBA8,26.0
STU0072,MMBA8-DA2,1252.0,16676.0,13.319488817891374,11.708623683149527,0.0351403214200048,0.0,11.0,1.0,6798.0,0.010446993703192471,1,1,1,1,1,MMBA,MMBA8,19.0
STU0007,MMBA8-DA2,38.0,770.0,20.263157894736842,12.288786991167424,0.02207792207792208,0.0,37.0,0.8571428571428571,309.0,0.020689955973268673,1,1,1,1,1,MMBA,MMBA8,22.0
STU0015,MMBA8-DA2,14.0,58.0,4.142857142857143,5.120950881529179,0.0,0.0,2.0,1.0,19.0,0.0,1,1,1,1,1,MMBA,MMBA8,23.0
STU0067,MMBA8-DA2,24.0,388.0,16.166666666666668,11.321109741239853,0.03350515463917526,0.0,59.0,0.9285714285714286,166.0,0.010295918153886354,1,1,1,1,1,MMBA,MMBA8,20.0
STU0002,MMBA8-DA2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9285714285714286,0.0,,0,1,1,0,1,MMBA,MMBA8,20.0
STU0029,MMBA8-DA2,2.0,14.0,7.0,1.8708286933869707,0.0,1.0,5.0,0.9285714285714286,4.0,0.0,1,1,1,1,1,MMBA,MMBA8,19.0
STU0006,MMBA8-DA2,35.0,567.0,16.2,11.884882873512367,0.012345679012345678,0.020204102886728803,15.0,0.8571428571428571,183.0,0.0,1,1,1,1,1,MMBA,MMBA8,20.0
STU0041,MMBA8-DA2,10.0,155.0,15.5,6.5060765641102405,0.0,0.6535898384862247,3.0,0.9285714285714286,56.0,0.0,1,1,1,1,1,MMBA,MMBA8,23.0
STU0032,MMBA8-DA2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.9285714285714286,0.0,,0,1,1,0,1,MMBA,MMBA8,19.0
STU0025,MMBA8-DA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.0,,0,0,1,0,1,MMBA,MMBA8,23.0
STU0034,MMBA8-DA2,23.0,341.0,14.826086956521738,9.85585257154466,0.017595307917888565,0.13152241932877484,3.0,0.9285714285714286,118.0,0.0,1,1,1,1,1,MMBA,MMBA8,20.0
STU0027,MMBA8-DA2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0,1,1,0,1,MMBA,MMBA8,19.0
STU0049,MMBA8-DA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,1,MMBA,MMBA8,21.0
STU0042,MMBA8-DA2,11.0,376.0,34.18181818181818,8.921793780138563,0.02925531914893617,0.0,9.0,0.7857142857142857,134.0,0.027393485887354917,1,1,1,1,1,MMBA,MMBA8,23.0
STU0068,MMBA8-DA2,10.0,74.0,7.4,3.719924439802217,0.0,1.0,0.0,0.8571428571428571,36.0,0.019062634273399406,1,0,1,1,1,MMBA,MMBA8,20.0
STU0017,MMBA8-DA2,60.0,842.0,14.033333333333333,11.096852820408799,0.021377672209026127,0.0,7.0,0.8571428571428571,274.0,0.013040115342596912,1,1,1,1,1,MMBA,MMBA8,25.0
STU0003,MMBA8-DA2,8.0,10.0,1.25,1.5811388300841895,0.0,1.0,2.0,0.9285714285714286,10.0,0.0,1,1,1,1,1,MMBA,MMBA8,22.0
STU0069,MMBA8-DA2,27.0,465.0,17.22222222222222,10.52687293375582,0.002150537634408602,0.0,4.0,1.0,180.0,0.0,1,1,1,1,1,MMBA,MMBA8,20.0
STU0058,MMBA8-DA2,1.0,1.0,1.0,1.0,0.0,1.0,6.0,0.21428571428571427,1.0,0.0,1,1,1,1,1,MMBA,MMBA8,22.0
STU0008,MMBA8-DA2,41.0,447.0,10.902439024390244,10.92592508331329,0.008948545861297539,0.3401097922698203,17.0,0.9285714285714286,156.0,0.039095264399335944,1,1,1,1,1,MMBA,MMBA8,24.0
STU0050,MMBA8-DA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,,0,0,1,0,1,MMBA,MMBA8,22.0
STU0070,MMBA8-DA2,6.0,21.0,3.5,3.2732683535398857,0.0,0.6150998205402496,4.0,0.5714285714285714,9.0,0.0,1,1,1,1,1,MMBA,MMBA8,26.0
STU0011,MMBA8-DA2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7142857142857143,0.0,,0,1,1,0,1,MMBA,MMBA8,23.0
STU0046,MMBA8-DA2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,0,1,1,0,1,MMBA,MMBA8,20.0
STU0057,MMBA8-DA2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9285714285714286,0.0,,0,1,1,0,1,MMBA,MMBA8,20.0
STU0023,MMBA8-DA2,1.0,2.0,2.0,1.414213562373095,0.0,1.0,1.0,0.6428571428571429,1.0,0.0,1,1,1,1,1,MMBA,MMBA8,24.0
STU0037,MMBA8-DA2,24.0,462.0,19.25,10.328374735423026,0.023809523809523808,1.0,3.0,0.5714285714285714,162.0,0.0,1,1,1,1,1,MMBA,MMBA8,20.0
STU0052,MMBA8-DA2,2.0,6.0,3.0,2.4494897427831783,0.0,1.0,3.0,0.7857142857142857,3.0,0.0,1,1,1,1,1,MMBA,MMBA8,20.0
STU0012,MMBA8-DA2,57.0,843.0,14.789473684210526,12.502384114276976,0.02491103202846975,0.4118226451143786,10.0,0.7142857142857143,328.0,0.0,1,1,1,1,1,MMBA,MMBA8,27.0
STU0013,MMBA8-DA2,10.0,201.0,20.1,8.67575107506076,0.004975124378109453,0.0,7.0,0.7142857142857143,72.0,0.021610540343976685,1,1,1,1,1,MMBA,MMBA8,25.0
STU0051,MMBA8-DA2,4.0,24.0,6.0,4.08248290463863,0.0,1.0,6.0,0.7857142857142857,7.0,0.0,1,1,1,1,1,MMBA,MMBA8,21.0
STU0053,MMBA8-DA2,164.0,1301.0,7.932926829268292,13.252238654734121,0.023059185242121444,0.0,53.0,1.0,535.0,0.003966943540939748,1,1,1,1,1,MMBA,MMBA8,24.0
STU0004,MMBA8-DA2,4.0,32.0,8.0,2.2980970388562794,0.0,1.0,3.0,0.2857142857142857,10.0,0.0,1,1,1,1,1,MMBA,MMBA8,19.0
STU0024,MMBA8-DA2,1.0,4.0,4.0,2.0,0.0,1.0,3.0,0.7857142857142857,3.0,0.0,1,1,1,1,1,MMBA,MMBA8,26.0
STU0014,MMBA8-DA2,45.0,362.0,8.044444444444444,7.410795470309678,0.011049723756906077,0.0,16.0,0.7857142857142857,123.0,0.0066109512894912854,1,1,1,1,1,MMBA,MMBA8,22.0
STU0001,MMBA8-DA2,205.0,2166.0,10.565853658536586,13.90192862790102,0.015235457063711912,0.4986514319611569,3.0,0.7857142857142857,1087.0,0.06364359451112768,1,1,1,1,1,MMBA,MMBA8,22.0
STU0031,MMBA8-DA2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.8571428571428571,0.0,,0,1,1,0,1,MMBA,MMBA8,21.0
STU0009,MMBA8-DA2,18.0,314.0,17.444444444444443,7.674924012570165,0.04777070063694268,1.0,20.0,0.7857142857142857,106.0,0.06868884814517365,1,1,1,1,1,MMBA,MMBA8,26.0
STU0021,MMBA8-DA2,9.0,98.0,10.88888888888889,7.0710678118654755,0.02040816326530612,0.0,7.0,0.8571428571428571,48.0,0.10059536477433004,1,1,1,1,1,MMBA,MMBA8,25.0
